departure_date,airline_code,flight_number,source_airport,destination_airport,flight_status,departure_scheduled_time,departure_actual_time,arrival_scheduled_time,arrival_actual_time
2018-02-01,MU,8206,LHR,FCO,LANDED,1517469900,1517469540,1517478900,1517477640
2018-02-01,AA,737,LHR,PHL,LANDED,1517478900,1517479800,1517510100,1517510160
2018-02-01,AA,6417,LHR,DXB,LANDED,1517488500,1517488560,1517514300,1517512980
2018-02-01,IB,4705,LHR,AUH,LANDED,1517491200,1517491560,1517517300,1517515620
2018-02-01,IB,4631,LHR,IAH,LANDED,1517477100,1517477280,1517514600,1517516400
2018-02-01,IB,4228,LHR,MIA,LANDED,1517483100,1517482680,1517519400,1517518080
2018-02-01,AA,6487,LHR,LYS,LANDED,1517492100,1517492880,1517498100,1517498460
2018-02-01,UA,9900,LHR,BRU,LANDED,1517467800,1517469000,1517471700,1517472900
2018-02-01,BA,1516,LHR,JFK,LANDED,1517480100,1517479440,1517509500,1517510640
2018-02-01,CX,7201,LHR,LIS,LANDED,1517468700,1517468220,1517478600,1517477340
2018-02-01,JL,7751,LHR,ABZ,LANDED,1517507100,1517506860,1517512800,1517512200
2018-02-01,BA,7,LHR,HND,LANDED,1517482200,1517482620,1517524500,1517524560
2018-02-01,AA,6533,LHR,CPH,LANDED,1517475300,1517474940,1517482200,1517482080
2018-02-01,IB,4645,LHR,DEN,LANDED,1517484300,1517485380,1517520000,1517521380
2018-02-01,BA,722,LHR,GVA,LANDED,1517493600,1517493480,1517499900,1517498820
2018-02-01,BA,227,LHR,ATL,LANDED,1517493900,1517494320,1517528400,1517530200
2018-02-01,AA,6576,LHR,FRA,LANDED,1517484900,1517484960,1517491200,1517490720
2018-02-01,GF,2,LHR,BAH,LANDED,1517477400,1517477400,1517500800,1517501040
2018-02-01,TG,5804,LHR,YYZ,LANDED,1517475600,1517475420,1517503500,1517504520
2018-02-01,BA,5969,LHR,DUB,LANDED,1517502000,1517503380,1517506800,1517506740
2018-02-01,IB,7449,LHR,MAD,LANDED,1517503200,1517505480,1517511900,1517513580
2018-02-01,EY,7292,LHR,MLA,LANDED,1517484300,1517485560,1517495700,1517495760
2018-02-01,SN,9087,LHR,ORD,LANDED,1517480700,1517479800,1517513700,1517512740
2018-02-01,ET,701,LHR,ADD,LANDED,1517516100,1517516100,1517543400,1517541780
2018-02-01,JL,7741,LHR,MAN,LANDED,1517514300,1517514120,1517517900,1517517720
2018-02-01,UA,9546,LHR,FRA,LANDED,1517466600,1517467200,1517472300,1517472660
2018-02-01,EI,8891,LHR,AUS,LANDED,1517484000,1517484120,1517522100,1517523120
2018-02-01,DL,9905,LHR,JFK,LANDED,1517477400,1517478480,1517507280,null
2018-02-01,AA,6287,LHR,BCN,LANDED,1517480100,1517480160,1517487900,1517487720
2018-02-01,RJ,3015,LHR,MAN,LANDED,1517509500,1517509380,1517513400,1517513340
2018-02-01,BA,520,LHR,MAD,LANDED,1517505000,1517505000,1517513700,1517513160
2018-02-01,QF,3563,LHR,ABZ,LANDED,1517472300,1517472480,1517478000,1517479200
2018-02-01,QR,5908,LHR,LBA,LANDED,1517506200,1517506140,1517510100,1517509800
2018-02-01,IB,4609,LHR,YYC,LANDED,1517492100,1517492160,1517525100,1517525460
2018-02-01,BA,5943,LHR,SNN,LANDED,null,1517497800,1517502960,1517501940
2018-02-01,JL,7789,LHR,GLA,LANDED,1517504100,1517504580,1517509200,1517509860
2018-02-01,BA,1492,LHR,GLA,LANDED,1517507400,1517509020,1517512500,1517513940
2018-02-01,BA,247,LHR,GRU,LANDED,1517519100,1517518680,1517562900,1517558940
2018-02-01,AF,3600,LHR,JFK,LANDED,1517481000,1517480460,1517511660,1517510280
2018-02-01,AA,9000,LHR,HEL,LANDED,1517480400,1517482020,1517490900,1517493300
2018-02-01,AC,5363,LHR,ORD,LANDED,1517486700,1517487180,1517520000,1517518620
2018-02-01,VS,601,LHR,JNB,LANDED,1517511300,1517511060,1517550600,1517550420
2018-02-01,IB,7540,LHR,BUD,LANDED,1517508900,1517508540,1517517900,1517516700
2018-02-01,AC,5351,LHR,IAD,LANDED,1517502000,1517505060,1517532600,1517536320
2018-02-01,AA,6601,LHR,BUD,LANDED,1517472600,1517473980,1517481600,1517481840
2018-02-01,EY,5835,LHR,LIS,LANDED,1517502600,1517502660,1517512200,1517511000
2018-02-01,GF,6687,LHR,ORD,LANDED,1517474400,1517473440,1517505900,1517505720
2018-02-01,BA,195,LHR,IAH,LANDED,1517477100,1517477280,1517514600,1517516400
2018-02-01,AA,6197,LHR,ORD,LANDED,1517499900,1517501280,1517531700,1517532720
